WELL_ID,Virus,VolVirus,CellCount,Titer,ZsG+%,Cells%,SingleCells%,mCherry+%,ZsG-mC+%,ZsG+mC+%,ZsG+mC-%,ZsG-mC-%,CellsCount,SingleCellsCount,ZsG+Count
A01,A1-48,0.015,3.90E+04,1.30E+05,4.99,56.1,96.9,0.01,6.93E-03,0,4.99,95,29778,28850,1441
A02,A2-1,0.075,3.90E+04,5.25E+04,10.1,66.2,97.5,0,0,0,10.1,89.9,20085,19577,1979
A03,A2-2,0.075,3.90E+04,2.50E+04,4.8,67.1,97.4,0,0,0,4.8,95.2,19998,19471,935
A04,A_pool,0.075,3.90E+04,4.17E+04,8.02,67.6,97.6,0,0,0,8.02,92,20025,19544,1568
A05,B1-48,0.015,3.90E+04,1.12E+05,4.3,72.8,98.1,5.11E-03,5.11E-03,0,4.3,95.7,19943,19564,841
A06,B2-1,0.075,3.90E+04,3.40E+04,6.54,69.1,97.3,0,0,0,6.54,93.5,19977,19439,1271
A07,B2-2,0.075,3.90E+04,2.62E+04,5.03,70.9,97.4,0,0,0,5.03,95,20061,19541,983
A08,B_pool,0.075,3.90E+04,3.84E+04,7.38,69.3,97.6,0.01,5.13E-03,5.13E-03,7.38,92.6,19976,19497,1439
A09,mC_BC_syr,0.001,3.90E+04,3.39E+06,8.7,71.3,97.9,2.89,0.021,2.83,5.87,91.3,19884,19471,1694
A10,mC_BC_pes,0.001,3.90E+04,3.41E+06,8.75,71.9,97.8,3.19,0.033,3.11,5.64,91.2,30551,29888,2615
A11,mC_BC_noVEP,0.025,3.90E+04,0.00E+00,0,70.5,97.4,3.37E-03,0,0,0,100,30498,29690,0
B01,A1-48,0.003,3.90E+04,1.04E+05,0.8,68.6,97.6,0,0,0,0.8,99.2,29729,29025,232
B02,A2-1,0.015,3.90E+04,6.53E+04,2.51,55,95.9,6.94E-03,6.94E-03,0,2.51,97.5,30050,28806,723
B03,A2-2,0.015,3.90E+04,2.21E+04,0.85,68.6,97.5,6.85E-03,6.85E-03,0,0.85,99.1,29936,29192,249
B04,A_pool,0.015,3.90E+04,4.06E+04,1.56,71.1,97.9,3.42E-03,0,0,1.56,98.4,29890,29261,456
B05,B1-48,0.003,3.90E+04,1.35E+05,1.04,71.5,98.3,3.41E-03,3.41E-03,0,1.04,99,29805,29304,305
B06,B2-1,0.015,3.90E+04,3.46E+04,1.33,68.9,97.4,3.44E-03,3.44E-03,0,1.33,98.7,29846,29072,387
B07,B2-2,0.015,3.90E+04,2.86E+04,1.1,71,97.7,6.85E-03,6.85E-03,0,1.1,98.9,29880,29200,321
B08,B_pool,0.015,3.90E+04,4.19E+04,1.61,70.7,97.4,3.43E-03,3.43E-03,0,1.61,98.4,29975,29181,470
B09,mC_BC_syr,0.0002,3.90E+04,3.80E+06,1.95,73.5,98.5,0.62,0,0.61,1.34,98.1,29775,29330,571
B10,mC_BC_pes,0.0002,3.90E+04,3.71E+06,1.9,73,98.1,0.7,6.87E-03,0.69,1.21,98.1,29645,29095,553
B11,mC_BC_noVEP,0.005,3.90E+04,0.00E+00,0,72.2,98,6.84E-03,6.84E-03,0,0,100,29844,29256,0